"","Dist","method","AD_p.v","KS_p.v","Chs_p.v","estimate1","estimate2","estimateLL1","estimateLL2"
"AD","exp","mle",1.23203285384843e-06,0,0,0.355686517787293,NA,0,1
"AD1","exp","mme",1.23203285384843e-06,0,0,0.355686515940248,NA,0,1
"AD2","exp","mge",1.23203285384843e-06,0,0,0.259840136321693,NA,0,1
"AD3","gamma","mle",0.103969767552439,0.246079903925618,0,22.1949793165352,7.89446462302988,0,1
"AD4","gamma","mme",0.0732664576376743,0.253048378249568,0,23.3170823617034,8.29357178712611,0,1
"AD5","gamma","mge",0.144553905802551,0.280011863981685,0,21.0808184891951,7.40871125308667,0,1
"AD6","gamma","mlg2",0.103905073615253,0.246146912293509,0,22.1982663469224,7.89562507312679,0,1
"AD7","lnorm","mle",0.0228267243916453,0.0642335208049275,0,1.01101178168982,0.216895258598154,0,1
"AD8","lnorm","mme",0.00918806428244268,0.0642455006608136,0,1.01270908891364,0.20492154767301,0,1
"AD9","lnorm","mge",0.0321725724791921,0.142798746477017,0,1.02714841016855,0.218768564424819,0,1
"AD10","weibull","mle",0.584956047854116,0.640976830751004,0,5.39527560660146,3.04728105742861,0,1
"AD11","weibull","mge",0.635772296630872,0.754580006043821,0,5.25156110518305,3.0346423103006,0,1
"AD12","weibull","mlg2",0.584720463934366,0.640683201874873,0,5.39511063051992,3.04731455449525,0,1
"AD13","norm","mle",0.569928570378117,0.813062366637396,0,2.81146446430932,0.58223122810929,0,1
"AD14","norm","mme",0.569928570378117,0.813062366637396,0,2.81146446430932,0.582231228109291,0,1
"AD15","norm","mge",0.713603730498244,0.78813098557154,0,2.81620688983842,0.613990184616174,0,1
"AD16","cauchy","mle",0.000143195475872604,0.000502189088723903,0,2.82684902141182,0.376857036671511,0,1
"AD17","cauchy","mge",0.000182983818766247,0.000625332928024358,0,2.81900464950412,0.369245830995101,0,1
"AD18","cauchy","mlg2",0.000143192898593991,0.000501816195245475,0,2.82682305730637,0.376867161266163,0,1
"AD19","beta","mme",1.23203285384843e-06,0.756656335636195,0,8.14150446426547,4.90430083842046,0,4.50504181110324
"AD20","beta","mge",1.23203285384843e-06,0.942311010782326,0,7.76467644718368,4.73976996328568,0,4.50504181110324
